name,start,end,n_days,cagr,bench_cagr,excess_cagr,vol,sharpe,bench_sharpe,maxdd,bench_maxdd,t_excess,half1_ex,half2_ex,win12,verdict
WinnerDecile 1927-2026,1926-11-03,2026-05-29,26152,0.13978597459192454,0.09849560851135197,0.04129036608057257,0.2294971721909931,0.6855537858885541,0.6343959215143704,-0.809018054554336,-0.8407399476860208,4.056795869543871,8.325941794473696,3.935651348242607,0.6375289575289576,ACCEPT
WinnerDecile 1927-1963,1927-01-03,1963-12-31,10396,0.1174855982935894,0.08258918455985476,0.034896413733734644,0.2434157704169954,0.5787261258923787,0.5234178244553237,-0.8090180545543356,-0.8407399476860211,2.183625056345505,0.732138813484646,1.1370999186463435,0.6193809148264984,ACCEPT
WinnerDecile 1963-1993,1963-01-02,1993-12-31,7802,0.17933472934498185,0.10945113194993605,0.0698835973950458,0.17449297717741355,1.0335292979767787,0.8661947042705078,-0.4375945168167048,-0.4815948240000797,4.6977036402538115,2.786270094104556,0.7503781963946359,0.7365562913907284,ACCEPT
WinnerDecile 1993-2010,1993-01-04,2010-12-31,4535,0.12257154635261625,0.08343534564668231,0.03913620070593393,0.2495784318189077,0.5883793345062714,0.5142562446760227,-0.5683261068561469,-0.5456553593385383,1.531710982375513,0.6144420505587882,0.17304569210519238,0.5988792902171375,ACCEPT
WinnerDecile 2010-2026,2010-01-04,2026-05-29,4126,0.1661957049873306,0.14487399052344818,0.021321714463882424,0.2574293956006808,0.7266620734765222,0.852477861874943,-0.4428995279731619,-0.3421628093489292,0.9992288173440753,0.1552211059567652,0.17096554620220683,0.5302013422818792,REJECT
IndustryMom 1927-2026,1926-07-01,2026-05-29,26253,0.15868194911662026,0.09851333169852738,0.06016861741809287,0.21234086089563203,0.8003447329722663,0.635100615263915,-0.7667567815810241,-0.8407399476860208,5.156571556238173,21.78980268179925,10.348057304150062,0.6780508441983001,ACCEPT
IndustryMom 1927-1963,1927-01-03,1963-12-31,10396,0.14971687235919218,0.08258918455985476,0.06712768779933742,0.2255853095356323,0.7318169310016533,0.5234178244553237,-0.7667567815810241,-0.8407399476860211,3.6129387422022914,3.1328931417863153,1.8946586616814391,0.7323541009463722,ACCEPT
IndustryMom 1963-1993,1963-01-02,1993-12-31,7802,0.1718258484787536,0.10945113194993605,0.06237471652881754,0.16236918626846586,1.0583645030307378,0.8661947042705078,-0.3964574205862157,-0.4815948240000797,3.866341867710905,2.548838276602936,0.5324027121036543,0.646887417218543,ACCEPT
IndustryMom 1993-2010,1993-01-04,2010-12-31,4535,0.1769893528166313,0.08343534564668231,0.093554007169949,0.24050400755442242,0.7982962099426982,0.5142562446760227,-0.6121113730182565,-0.5456553593385383,2.526124087103912,1.49639021503283,0.7782647169719352,0.717954704646276,ACCEPT
IndustryMom 2010-2026,2010-01-04,2026-05-29,4126,0.16901783174184204,0.14487399052344818,0.024143841218393858,0.2275706258020817,0.8005813244909898,0.852477861874943,-0.3583288785209169,-0.3421628093489292,0.9833598999663986,0.15720945360435423,0.21614114914149773,0.5787299948373774,REJECT
Win+TrendGate 1927-2026,1926-11-03,2026-05-29,26152,0.14199957388271356,0.09849560851135197,0.043503965371361586,0.17145839863530515,0.8607517349796535,0.6343959215143704,-0.48107416706048267,-0.8407399476860208,2.4841705889535977,23.641630339117448,1.284621970206402,0.5954054054054054,ACCEPT
Win+TrendGate 1927-1963,1927-01-03,1963-12-31,10396,0.12890464258647572,0.08258918455985476,0.04631545802662096,0.1774561173928312,0.7726481392357779,0.5234178244553237,-0.48107416706048267,-0.8407399476860211,1.5616661336661959,2.6353298754251555,0.5488641997504105,0.5904968454258676,ACCEPT
Win+TrendGate 1963-1993,1963-01-02,1993-12-31,7802,0.1944695403263017,0.10945113194993605,0.08501840837636565,0.1309139096365585,1.4235002694676646,0.8661947042705078,-0.3139280797046342,-0.4815948240000797,3.695259124036672,5.094077003347104,0.6139628134844404,0.7309933774834437,ACCEPT
Win+TrendGate 1993-2010,1993-01-04,2010-12-31,4535,0.1216095549556635,0.08343534564668231,0.03817420930898119,0.18409412385917395,0.7160111804436979,0.5142562446760227,-0.4419084006466093,-0.5456553593385383,0.7849454509575213,0.35349691748780687,0.3777793224522856,0.5935092225075881,RA-ONLY
Win+TrendGate 2010-2026,2010-01-04,2026-05-29,4126,0.10546951877151622,0.14487399052344818,-0.03940447175193196,0.2074234755662277,0.5876132347830152,0.852477861874943,-0.4179656413939352,-0.3421628093489292,-0.6440709440291992,-0.1349503051830354,-0.34850609129162713,0.3412493546721735,REJECT
Winners drag=0.0%/yr,1926-11-03,2026-05-29,26152,0.15700394208275004,0.09849560851135197,0.05850833357139806,0.22949717219099314,0.7509140683565081,0.6343959215143704,-0.7970156375694827,-0.8407399476860208,5.306827983372887,19.304411426007142,9.74481381502315,0.7013513513513514,ACCEPT
Winners drag=1.5%/yr,1926-11-03,2026-05-29,26152,0.13978597459192454,0.09849560851135197,0.04129036608057257,0.2294971721909931,0.6855537858885541,0.6343959215143704,-0.809018054554336,-0.8407399476860208,4.056795869543871,8.325941794473696,3.935651348242607,0.6375289575289576,ACCEPT
Winners drag=3.0%/yr,1926-11-03,2026-05-29,26152,0.1228232345766731,0.09849560851135197,0.02432762606532113,0.2294971721909931,0.6201935034205999,0.6343959215143704,-0.8203248462120685,-0.8407399476860208,2.806763755714847,3.283264417825441,1.2670961918807553,0.5754826254826255,ACCEPT
IndMom cost=5bp/side,1926-07-01,2026-05-29,26253,0.16239150803190538,0.09851333169852738,0.063878176333378,0.21234667964673173,0.8153892694001129,0.635100615263915,-0.7641656574770372,-0.8407399476860208,5.4260825449635774,25.630948523183665,12.548612413450469,0.6878966193607938,ACCEPT
IndMom cost=10bp/side,1926-07-01,2026-05-29,26253,0.15868194911662026,0.09851333169852738,0.06016861741809287,0.21234086089563203,0.8003447329722663,0.635100615263915,-0.7667567815810241,-0.8407399476860208,5.156571556238173,21.78980268179925,10.348057304150062,0.6780508441983001,ACCEPT
IndMom cost=20bp/side,1926-07-01,2026-05-29,26253,0.15129405990383038,0.09851333169852738,0.052780728205302996,0.21234604264402784,0.7701921771089341,0.635100615263915,-0.7718570078835338,-0.8407399476860208,4.616566236057214,15.686722880149883,6.959491532307077,0.6553209491942618,ACCEPT
IndMom k=3 s=21 f=252,1926-07-01,2026-05-29,26253,0.1620221040954739,0.09851333169852738,0.06350877239694652,0.24109656063790888,0.7436780860724665,0.635100615263915,-0.7656644365804997,-0.8407399476860208,4.448208936814812,31.632995063967655,9.69655165349856,0.6201684550594208,ACCEPT
IndMom k=3 s=0 f=252,1926-07-01,2026-05-29,26253,0.15909665902143577,0.09851333169852738,0.06058332732290839,0.23656510464414127,0.7430698226596685,0.635100615263915,-0.7984058013643267,-0.8407399476860208,4.315499731870325,23.54730119356276,9.935761163229854,0.6175916310911119,ACCEPT
IndMom k=3 s=21 f=126,1926-07-01,2026-05-29,26253,0.12862927569758442,0.09851333169852738,0.030115943999057038,0.2451958687745562,0.6163040610984479,0.635100615263915,-0.8463740787775537,-0.8407399476860208,2.5709749217895044,5.315722300334398,1.650063772232341,0.5437483173724088,REJECT
IndMom k=5 s=0 f=252,1926-07-01,2026-05-29,26253,0.1571547267058806,0.09851333169852738,0.058641395007353214,0.20987811112118585,0.8011204568716783,0.635100615263915,-0.7963810984595538,-0.8407399476860208,5.079307338979458,17.49272468495272,11.189528560666439,0.6596284758278528,ACCEPT
IndMom k=5 s=21 f=126,1926-07-01,2026-05-29,26253,0.12395411882171437,0.09851333169852738,0.02544078712318698,0.21575630668301962,0.6500440680423486,0.635100615263915,-0.8076821988934546,-0.8407399476860208,2.525804181646527,4.541867007368364,0.9598264210739724,0.546825122110688,REJECT
IndMom k=8 s=21 f=252,1926-07-01,2026-05-29,26253,0.1501362357794347,0.09851333169852738,0.051622904080907306,0.19481579746172295,0.8160173544457512,0.635100615263915,-0.7586929460345407,-0.8407399476860208,5.410345638308287,11.54662758038645,8.532475023697286,0.6768970424214453,ACCEPT
IndMom k=8 s=0 f=252,1926-07-01,2026-05-29,26253,0.15057671425300723,0.09851333169852738,0.05206338255447984,0.1921483030251263,0.8266987704521072,0.635100615263915,-0.7826970057493636,-0.8407399476860208,5.456129816495191,12.128995926460991,8.480373339179174,0.6741663782162225,ACCEPT
IndMom k=8 s=21 f=126,1926-07-01,2026-05-29,26253,0.12907092444958845,0.09851333169852738,0.03055759275106107,0.1959010424651578,0.7182093492848065,0.635100615263915,-0.783068851117684,-0.8407399476860208,3.356342542606775,6.706626161227406,1.2621233819030167,0.5724395215568632,ACCEPT
Winners vol-managed,1927-04-05,2026-05-29,26026,0.15464721553423733,0.09787919674240775,0.05676801879182958,0.20712284886335397,0.7986958796595849,0.6301788345061798,-0.7310244427630037,-0.8407399476860207,4.566038503415654,26.6534059461022,5.5992288141698365,0.6318770854349345,ACCEPT
Mkt + 1x TOM overlay,1926-07-02,2026-05-29,26252,0.1650902507449281,0.09850672371904312,0.06658352702588499,0.23645656458716122,0.7650375087274445,0.6350566239131052,-0.9405596883115499,-0.8407399476860207,7.824946600855251,25.07066249433863,16.628789972404647,0.8069615384615385,ACCEPT
Mkt + 1x pre-holiday ovl,1926-07-02,2026-05-29,26252,0.11840619492098559,0.09850672371904312,0.019899471201942465,0.17799885082344286,0.7178250850183511,0.6350566239131052,-0.823317969809348,-0.8407399476860207,6.865420727314263,2.595220674002266,0.8051264505760853,0.7863461538461538,ACCEPT
Mkt + TOM + prehol ovl,1926-07-02,2026-05-29,26252,0.18575267407538276,0.09850672371904312,0.08724595035633964,0.24311645663469458,0.8228394746724795,0.6350566239131052,-0.9348104204001807,-0.8407399476860207,9.121471253373688,90.6173377589286,30.312846756039914,0.8381538461538461,ACCEPT
