name,start,end,n_days,cagr,bench_cagr,excess_cagr,vol,sharpe,bench_sharpe,maxdd,bench_maxdd,t_excess,half1_ex,half2_ex,win12,verdict
H60 Winner decile (net),1926-11-03,2026-05-29,26152,0.13978597459192454,0.09849560851135197,0.04129036608057257,0.2294971721909931,0.6855537858885541,0.6343959215143704,-0.809018054554336,-0.8407399476860208,4.056795869543871,8.325941794473696,3.935651348242607,0.6375289575289576,ACCEPT
H60b Loser decile (gross),1926-11-03,2026-05-29,26152,0.016142919001674194,0.09849560851135197,-0.08235268950967778,0.2789585219652891,0.19606423838415127,0.6343959215143704,-0.9372675100963604,-0.8407399476860208,-3.169227287183538,-0.9603774348259295,-0.9922401901080107,0.3252895752895753,REJECT
H65 Winners + trend gate,1926-11-03,2026-05-29,26152,0.14199957388271356,0.09849560851135197,0.043503965371361586,0.17145839863530515,0.8607517349796535,0.6343959215143704,-0.48107416706048267,-0.8407399476860208,2.4841705889535977,23.641630339117448,1.284621970206402,0.5954054054054054,ACCEPT
H61 Mkt MA200 1926+,1926-07-06,2026-05-29,26251,0.10940532667066272,0.09846225916854423,0.010943067502118486,0.11205307685079055,0.982879609273295,0.6348123690317123,-0.3360649859799927,-0.8407399476860207,0.12243264476633621,3.188508373224745,-0.3294883801672981,0.3667833378206854,RA-ONLY
H63 TOM 1926+,1926-07-02,2026-05-29,26252,0.10464229718622131,0.09850672371904312,0.00613557346717819,0.09427412397930743,1.1030581094301952,0.6350566239131052,-0.5529408969893317,-0.8407399476860207,-0.33136250424809743,1.3848028076758836,-0.2508986486315783,0.47592307692307695,RA-ONLY
H64 Pre-holiday 1926+,1926-07-02,2026-05-29,26252,0.050249050579943555,0.09850672371904312,-0.048257673139099566,0.02854325429280473,1.7319424406148742,0.6350566239131052,-0.05818232188447492,-0.8407399476860207,-3.581135552542175,-0.7946215417920981,-0.9548191232754242,0.31473076923076926,RA-ONLY
H62 Industry mom top5,1926-07-01,2026-05-29,26253,0.15868194911662026,0.09851333169852738,0.06016861741809287,0.21234086089563203,0.8003447329722663,0.635100615263915,-0.7667567815810241,-0.8407399476860208,5.156571556238173,21.78980268179925,10.348057304150062,0.6780508441983001,ACCEPT
