name,start,end,n_days,cagr,bench_cagr,excess_cagr,vol,sharpe,bench_sharpe,maxdd,bench_maxdd,t_excess,half1_ex,half2_ex,win12,verdict
H25 SVXY when VIX<20,2011-10-05,2026-07-29,3724,0.05372489345266218,0.1550027024382412,-0.10127780898557903,0.40100546024054884,0.33853769475571066,0.9441123584162029,-0.6799763159025733,-0.33717280766424995,-0.2406045258322406,0.09465426176089586,-0.7646341453232076,0.3626152073732719,REJECT
H28 Breadth>=5/9 gate,1993-02-01,2026-07-29,8430,0.03197252718422683,0.10729740714838965,-0.07532487996416282,0.10948321237074553,0.34237429072358805,0.6420880341020366,-0.44698659913722294,-0.551894311126672,-3.0949221262989455,-0.7491037787264755,-0.622434843328113,0.1474688187820983,REJECT
H28b Breadth-sized,1993-02-01,2026-07-29,8430,0.04134870226979204,0.10729740714838965,-0.06594870487859761,0.09426621936347472,0.47708768717986505,0.6420880341020366,-0.34431220305807364,-0.551894311126672,-3.0004371817607662,-0.6841845825118317,-0.5940662717628746,0.11482024944974321,REJECT
H29 Credit-regime gate,1993-02-01,2026-07-29,8430,0.02985258471451324,0.10729740714838965,-0.0774448224338764,0.09026028084091317,0.37115924555832314,0.6420880341020366,-0.40161056930054984,-0.551894311126672,-2.9986265127288942,-0.7048507598844298,-0.7003812699515615,0.2045732452922475,REJECT
H32 UPRO + MA200,2009-06-26,2026-07-29,4298,0.24282812415689925,0.1492366093719546,0.09359151478494465,0.3608251348598554,0.7852434542538058,0.8998970902965719,-0.51828245783671,-0.33717280766425006,1.9845041516617312,1.5261167245019207,0.5047456935826773,0.5889767671774592,ACCEPT
H33 3d pullback buy,1993-02-01,2026-07-29,8430,0.05428117953148415,0.10729740714838965,-0.0530162276169055,0.0649598881499134,0.8463494515360802,0.6420880341020366,-0.1206956988688358,-0.551894311126672,-2.095094341695051,-0.2989705760437843,-0.7236457586703371,0.22707263389581805,RA-ONLY
H34 SSO TOM+trend,2006-06-22,2026-07-29,5056,0.03871669917361209,0.11208261467946179,-0.0733659155058497,0.1400273196727457,0.34188463213422465,0.6447516117944871,-0.23584909411934718,-0.5518943111266715,-1.7525666183723936,-0.39262446414178986,-0.5813394402524956,0.24937552039966696,REJECT
