name,start,end,n_days,cagr,bench_cagr,excess_cagr,vol,sharpe,bench_sharpe,maxdd,bench_maxdd,t_excess,half1_ex,half2_ex,win12,verdict
ctrl const-lev (TOM avg),1926-07-01,2026-05-29,26253,0.11244202399608016,0.09851333169852738,0.01392869229755278,0.22572944645466356,0.5853532906149977,0.635100615263915,-0.9200769507698905,-0.8407399476860208,4.386220534341117,0.6993228622583871,1.1867288395931817,0.6715510941886851,ACCEPT
ctrl const-lev (ph avg),1926-07-01,2026-05-29,26253,0.1001433139719341,0.09851333169852738,0.001629982273406716,0.1768553816549719,0.6283527076017978,0.635100615263915,-0.851715960093116,-0.8407399476860208,4.386220534341094,0.06583403242486874,0.09495005307305138,0.6790123456790124,ACCEPT
ctrl const-lev (both),1926-07-01,2026-05-29,26253,0.11373431279909574,0.09851333169852738,0.015220981100568354,0.2315414919358054,0.5814474369124191,0.635100615263915,-0.9258960377653458,-0.8407399476860208,4.38622053434116,0.7814104332052869,1.3541550994068432,0.6703203722933734,ACCEPT
PLACEBO mid-month ovl,1926-07-02,2026-05-29,26252,0.08414146149877877,0.09850672371904312,-0.014365262220264352,0.23821973355536097,0.4595449374593496,0.6350566239131052,-0.9024473968890219,-0.8407399476860207,0.0904416911000618,-0.602332812632639,-0.36182698133527136,0.5116538461538461,REJECT
TOM ovl 1927-2026,1926-07-02,2026-05-29,26252,0.1650902507449281,0.09850672371904312,0.06658352702588499,0.23645656458716122,0.7650375087274445,0.6350566239131052,-0.9405596883115499,-0.8407399476860207,7.824946600855251,25.07066249433863,16.628789972404647,0.8069615384615385,ACCEPT
TOM ovl 1927-1963,1927-01-03,1963-12-31,10396,0.16014492706075356,0.08258918455985476,0.0775557425008988,0.25036949921069906,0.7193362077346661,0.5234178244553237,-0.94055968831155,-0.8407399476860211,5.489681529284082,1.2493660104057702,6.719021778240455,0.8739156151419558,ACCEPT
TOM ovl 1963-1993,1963-01-02,1993-12-31,7802,0.16964657112268156,0.10945113194993605,0.0601954391727455,0.18112272549679895,0.9560983312903787,0.8661947042705078,-0.644939427065115,-0.4815948240000797,4.636262234985513,0.5202269511404336,2.376927249696101,0.7667549668874172,ACCEPT
TOM ovl 1993-2010,1993-01-04,2010-12-31,4535,0.14279425027309478,0.08343534564668231,0.05935890462641247,0.27120651282216557,0.6281756824370224,0.5142562446760227,-0.5592316472461896,-0.5456553593385383,2.7502370850629387,0.6960501971052144,0.5397145632514948,0.7492411860845202,ACCEPT
TOM ovl 2010-2026,2010-01-04,2026-05-29,4126,0.20773818036621816,0.14487399052344818,0.06286418984276998,0.24625950292886753,0.8900618354230355,0.852477861874943,-0.36901594512452984,-0.3421628093489292,2.7898103418271716,0.6132005088761443,0.48734926170985804,0.7663913267940113,ACCEPT
Prehol ovl 1927-2026,1926-07-02,2026-05-29,26252,0.11840619492098559,0.09850672371904312,0.019899471201942465,0.17799885082344286,0.7178250850183511,0.6350566239131052,-0.823317969809348,-0.8407399476860207,6.865420727314263,2.595220674002266,0.8051264505760853,0.7863461538461538,ACCEPT
Prehol ovl 1927-1963,1927-01-03,1963-12-31,10396,0.1113504142569468,0.08258918455985476,0.02876122969709205,0.19319137613941292,0.6428416254126886,0.5234178244553237,-0.823317969809348,-0.8407399476860211,5.251784438276741,0.7294146263161221,0.7055854900397385,0.8623817034700315,ACCEPT
Prehol ovl 1963-1993,1963-01-02,1993-12-31,7802,0.12856834197606748,0.10945113194993605,0.019117210026131426,0.1338648601734443,0.9711296004330533,0.8661947042705078,-0.45359428466291773,-0.4815948240000797,5.14327849079885,0.39935778817903356,0.21279406127802192,0.8623841059602649,ACCEPT
Prehol ovl 1993-2010,1993-01-04,2010-12-31,4535,0.08945864509070467,0.08343534564668231,0.006023299444022356,0.19862999198191705,0.5307252355573211,0.5142562446760227,-0.5323199692545145,-0.5456553593385383,0.9658501892117078,0.00976266012365734,0.09423507788912966,0.5444781695073546,REJECT
Prehol ovl 2010-2026,2010-01-04,2026-05-29,4126,0.15450111571045944,0.14487399052344818,0.009627125187011254,0.18244213663130343,0.879227233188126,0.852477861874943,-0.3421628093489293,-0.3421628093489292,1.506539590445093,0.027597109819738952,0.11614430206516446,0.7188951987609705,ACCEPT
TOM+ph ovl 1927-2026,1926-07-02,2026-05-29,26252,0.18575267407538276,0.09850672371904312,0.08724595035633964,0.24311645663469458,0.8228394746724795,0.6350566239131052,-0.9348104204001807,-0.8407399476860207,9.121471253373688,90.6173377589286,30.312846756039914,0.8381538461538461,ACCEPT
TOM+ph ovl 1927-1963,1927-01-03,1963-12-31,10396,0.19035165082148042,0.08258918455985476,0.10776246626162567,0.25933221257337497,0.8021346501205704,0.5234178244553237,-0.9348104204001807,-0.8407399476860211,6.590430844237069,2.8365810880567452,12.067648128307873,0.893730283911672,ACCEPT
TOM+ph ovl 1963-1993,1963-01-02,1993-12-31,7802,0.18956119616899647,0.10945113194993605,0.08011006421906042,0.1852005501568522,1.030260680921102,0.8661947042705078,-0.626098974606048,-0.4815948240000797,5.5919859663758675,1.1188358538001344,3.0863739398956387,0.820794701986755,ACCEPT
TOM+ph ovl 1993-2010,1993-01-04,2010-12-31,4535,0.14868524233881808,0.08343534564668231,0.06524989669213577,0.27774466350498983,0.6382577325698572,0.5142562446760227,-0.5837147122824398,-0.5456553593385383,2.820339824840842,0.7084604310878946,0.6767141953700533,0.7401354190987626,ACCEPT
TOM+ph ovl 2010-2026,2010-01-04,2026-05-29,4126,0.21745889626905712,0.14487399052344818,0.07258490574560894,0.25142295327674685,0.9088681911958387,0.852477861874943,-0.36901594512452973,-0.3421628093489292,2.9765259836948146,0.6536632276374801,0.6544631106698111,0.8286009292720702,ACCEPT
TOM ovl+trend armor 1927-2026,1926-07-02,2026-05-29,26252,0.1449881251314573,0.09850672371904312,0.04648140141241419,0.20140892772702837,0.7733110264112654,0.6350566239131052,-0.8567915166308129,-0.8407399476860207,7.829544061245303,15.491717417667562,3.5466971628043176,0.6940384615384615,ACCEPT
TOM ovl+trend armor 2010-2026,2010-01-04,2026-05-29,4126,0.16102151856901936,0.14487399052344818,0.01614752804557118,0.21771492602789566,0.7953829836773554,0.852477861874943,-0.41210910568145054,-0.3421628093489292,1.2231372319508065,0.13717577149075333,0.10601898279617483,0.5536912751677853,REJECT
0.3 MOM ovl 1927-2026,1926-07-01,2026-05-29,26253,0.11381202365164156,0.09851333169852738,0.015298691953114174,0.17001919704917337,0.7193982441397164,0.635100615263915,-0.8024002484953235,-0.8407399476860208,3.726613265690875,1.052433527627008,1.0581961776767117,0.6840890734971732,ACCEPT
0.3 MOM ovl 1927-1963,1927-01-03,1963-12-31,10396,0.09415500018415912,0.08258918455985476,0.011565815624304365,0.18157390085363875,0.5865471947072862,0.5234178244553237,-0.8024002484953239,-0.8407399476860211,1.7419825054141864,0.12687060988181909,0.3756876323610028,0.6542783911671924,ACCEPT
0.3 MOM ovl 1963-1993,1963-01-02,1993-12-31,7802,0.13348935581770283,0.10945113194993605,0.024038223867766773,0.134437942722307,1.000150570278239,0.8661947042705078,-0.42317137565169516,-0.4815948240000797,5.390755118271116,0.3868409844154779,0.40020377137284435,0.736953642384106,ACCEPT
0.3 MOM ovl 1993-2010,1993-01-04,2010-12-31,4535,0.10058116817482654,0.08343534564668231,0.017145822528144228,0.18479679174240887,0.6111764347044194,0.5142562446760227,-0.4816843142574808,-0.5456553593385383,1.3433828144058917,0.33421174985281255,-0.005759209629900175,0.6805977118841933,REJECT
0.3 MOM ovl 2010-2026,2010-01-04,2026-05-29,4126,0.15384474099900314,0.14487399052344818,0.008970750475554956,0.18012219581225483,0.8850643726964136,0.852477861874943,-0.3283735713464787,-0.3421628093489292,0.7236320936816902,0.06703030200374482,0.06493384022008364,0.6507485802787816,REJECT
IndMom k=8 1927-2026,1926-07-01,2026-05-29,26253,0.1501362357794347,0.09851333169852738,0.051622904080907306,0.19481579746172295,0.8160173544457512,0.635100615263915,-0.7586929460345407,-0.8407399476860208,5.410345638308287,11.54662758038645,8.532475023697286,0.6768970424214453,ACCEPT
IndMom k=8 1993-2010,1993-01-04,2010-12-31,4535,0.1603426347590191,0.08343534564668231,0.0769072891123368,0.21644739333195628,0.7957915244484735,0.5142562446760227,-0.5969755771194297,-0.5456553593385383,2.5234927062313695,1.0476640393793288,0.6777282294874738,0.7214569227177212,ACCEPT
IndMom k=8 2010-2026,2010-01-04,2026-05-29,4126,0.1689154057372111,0.14487399052344818,0.024041415213762907,0.20912980738895415,0.8514316792795383,0.852477861874943,-0.3436091630371487,-0.3421628093489292,1.1077103423741628,0.21664288182925184,0.15507394961283372,0.6233866804336603,REJECT
IndMom+gate 1927-2026,1926-07-01,2026-05-29,26253,0.1562534276907106,0.09851333169852738,0.057740095992183216,0.1548450556756013,1.0155721870592958,0.635100615263915,-0.3965177288785737,-0.8407399476860208,3.1830171086570047,56.980769913451574,2.584674755031653,0.6291681089188877,ACCEPT
IndMom+gate 1993-2010,1993-01-04,2010-12-31,4535,0.16961109484013592,0.08343534564668231,0.08617574919345361,0.17209087793127012,0.9969476763931018,0.5142562446760227,-0.3346687587339795,-0.5456553593385383,1.7062260660307809,0.974938611099055,1.0072761877526801,0.7167872986224609,ACCEPT
