Date,Open,High,Low,Close,Volume
2012-10-01,13.984754,14.094247,13.897916,13.939446,11266800
2012-10-02,13.965887,13.984765,13.777108,13.863946,10951000
2012-10-03,13.845060,13.871490,13.735569,13.799753,16077000
2012-10-04,13.901701,14.026296,13.871497,13.977213,11995400
2012-10-05,14.048946,14.165989,13.999864,14.045171,12349000
2012-10-08,13.950774,14.064042,13.931897,14.018735,7318800
2012-10-09,14.026288,14.094248,13.875264,13.886590,17186800
2012-10-10,13.863938,13.879039,13.701588,13.735568,17248600
2012-10-11,13.860161,13.931898,13.792200,13.792200,13240800
2012-10-12,13.799759,13.879046,13.690267,13.731798,12197000
2012-10-15,13.739348,13.860167,13.690265,13.848841,11264800
2012-10-16,13.905474,14.192418,13.897923,14.181091,24575800
2012-10-17,14.230172,14.309461,14.165988,14.298133,24277600
2012-10-18,14.233947,14.366092,14.203742,14.301908,13783600
2012-10-19,14.233952,14.233952,13.958335,14.003641,18354000
2012-10-22,13.969656,14.090475,13.894144,14.067821,17946200
2012-10-23,13.731793,13.769550,13.550565,13.644955,30907600
2012-10-24,13.754444,13.773322,13.610972,13.637401,20232600
2012-10-25,13.735570,13.743122,13.516586,13.607201,15850000
2012-10-26,13.580776,13.667614,13.509039,13.633634,17973800
2012-10-31,13.622305,13.720470,13.478832,13.603426,28240600
2012-11-01,13.633632,13.879044,13.607203,13.867718,12119800
2012-11-02,13.965881,13.969656,13.607200,13.618526,13352200
2012-11-05,13.580773,13.743124,13.565671,13.712918,10595800
2012-11-06,13.777099,13.939448,13.724240,13.856386,11293600
2012-11-07,13.694035,13.739342,13.501479,13.637401,19381200
2012-11-08,13.663834,13.682713,13.418422,13.452402,13864800
2012-11-09,13.391992,13.607200,13.380664,13.425972,17836000
2012-11-12,13.490156,13.512810,13.407093,13.425972,9278600
2012-11-13,13.350461,13.527914,13.308930,13.403319,11490600
2012-11-14,13.403318,13.437298,13.150355,13.176784,20691000
2012-11-15,13.176785,13.237195,13.033313,13.131477,16355600
2012-11-16,13.176784,13.210764,13.003106,13.161681,17520000
